"Key","Item Type","Publication Year","Author","title","Publication Title","ISBN","ISSN","DOI","Url","abstract","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"F3J2I4AH","journalArticle","2021","Verchick, RRM; Lyster, R","Building a Climate-Resilient Power Grid: Lessons From Texas-Size Storms and the Queensland Floods","FRONTIERS IN CLIMATE","","2624-9553","10.3389/fclim.2021.734227","","When a city is lashed by storm or swamped by epic rains, there's at least one predictable moment in the chaos: the lights go out. In this article, we focus on the challenge of protecting assets from storms and floods in the era of climate breakdown. This often involves physical fortification or smarter placement. To understand the policies and decisions involved, we examine recovery efforts following storm- or flood-based outages that occurred this century in the state of Texas in the United States and the state of Queensland in Australia. We first describe the outages, their consequences, and the policy recommendations and responses that followed. We then evaluate the recovery processes, focusing on the challenge of protecting assets like substations and transmission structures. We find that each jurisdiction could do more to incorporate forward-looking climate data, to match the level of government authority to better fit the desired function, and to capably fund the work to be done.","2021-12-06","2023-09-26 16:11:56","2023-09-26 16:11:56","","","","","3","","","","","","","","","","English","","","","WOS:001019179600001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;56</p>","","","climate change adaptation; infrastructure; Australia; climate change disaster; electricity; United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4G43WWBJ","journalArticle","2022","Mouguiama-Daouda, C; Blanchard, MA; Coussement, C; Heeren, A","On the Measurement of Climate Change Anxiety: French Validation of the Climate Anxiety Scale","PSYCHOLOGICA BELGICA","","0033-2879","10.5334/pb.1137","","The notion of climate change anxiety has gained traction in the last years. Clayton & Karazsia (2020) recently developed the 22-item Climate Change Anxiety Scale (CAS), which assesses climate change anxiety via a four-factor structure. Yet other research has cast doubts on the very structure of the CAS by calling either for a shorter (i.e. 13 items) two-factor structure or for a shorter single-factor structure (i.e. 13 items). So far, these three different models have not yet been compared in one study. Moreover, uncertainty remains regarding the associations between the CAS and other psychological constructs, especially anxiety and depression. This project was designed to overcome these limitations. In a first preregistered study (n = 305), we translated the scale into French and tested, via confirmatory factor analyses (CFA), whether the French version would better fit with a four-, two-, or single-factor structure, as implied by previous works. We also examined how the CAS factors related to depression, anxiety, and environmental identity. In a second preregistered study, we aimed at replicating our comparison between the three CFA models in a larger sample (n = 905). Both studies pointed to a 13-item version of the scale with a two-factor structure as the best fitting model, with one factor reflecting cognitive and emotional features of climate change anxiety and the other reflecting the related functional impairments. Each factor exhibited a positive association with depression and environmental identity but not with general anxiety. We discuss how this two-factor structure impacts the conceptualization of climate change anxiety.","2022","2023-09-26 16:11:56","2023-09-26 16:11:56","","123-135","","1","62","","","","","","","","","","English","","","","WOS:000777000700001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;11<br/>Total Times Cited:&nbsp;&nbsp;11<br/>Cited Reference Count:&nbsp;&nbsp;58</p>","","","climate change; assessment; FIT INDEXES; climate change anxiety; COMMON; DISORDER; eco-anxiety; French validation; GAD-7; GRIEF; psychometrics; SAMPLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNE3ZY42","journalArticle","2021","Mbah, M; Ajaps, S; Molthan-Hill, P","A Systematic Review of the Deployment of Indigenous Knowledge Systems towards Climate Change Adaptation in Developing World Contexts: Implications for Climate Change Education","SUSTAINABILITY","","2071-1050","10.3390/su13094811","","Countries in the developing world are increasingly vulnerable to climate change effects and have a lesser capacity to adapt. Consideration can be given to their indigenous knowledge systems for an integrated approach to education, one which is more holistic and applicable to their context. This paper presents a systematic review of the indigenous knowledge systems (IKSs) deployed for climate change adaptation in the developing world and advances implications for climate change education. A set of inclusion criteria was used to screen publications derived from two databases and grey literature searches, and a total of 39 articles constituted the final selection. Postcolonial theory's lens was applied to the review of the selected publications to highlight indigenous people's agency, despite IKSs' marginalization through colonial encounters and the ensuing epistemic violence. The categories of social adaptation, structural adaptation, and institutional adaptation emerged from the IKS-based climate change adaptation strategies described in the articles, with social adaptation being the most recurrent. We discussed how these strategies can be employed to decolonise climate change education through critical, place-based, participatory, and holistic methodologies. The potential outcome of this is a more relatable and effective climate change education in a developing world context.","2021-05","2023-09-26 16:11:56","2023-09-26 16:11:56","","","","9","13","","","","","","","","","","English","","","","WOS:000650900700001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;16<br/>Total Times Cited:&nbsp;&nbsp;16<br/>Cited Reference Count:&nbsp;&nbsp;63</p>","","","VARIABILITY; climate change education; REGION; STRATEGIES; AGRICULTURE; climate change adaptation; developing world; indigenous knowledge systems; STATE; TRADITIONAL ECOLOGICAL KNOWLEDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KWZVRQ6X","journalArticle","2021","Eitan, A","Promoting Renewable Energy to Cope with Climate Change-Policy Discourse in Israel","SUSTAINABILITY","","2071-1050","10.3390/su13063170","","Evidence shows that global climate change is increasing over time, and requires the adoption of a variety of coping methods. As an alternative for conventional electricity systems, renewable energies are considered to be an important policy tool for reducing greenhouse gas emissions, and therefore, they play an important role in climate change mitigation strategies. Renewable energies, however, may also play a crucial role in climate change adaptation strategies because they can reduce the vulnerability of energy systems to extreme events. The paper examines whether policy-makers in Israel tend to focus on mitigation strategies or on adaptation strategies in renewable energy policy discourse. The results indicate that despite Israel's minor impact on global greenhouse gas emissions, policy-makers focus more on promoting renewable energies as a climate change mitigation strategy rather than an adaptation strategy. These findings shed light on the important role of international influence-which tends to emphasize mitigation over adaptation-in motivating the domestic policy discourse on renewable energy as a coping method with climate change.","2021-03","2023-09-26 16:11:56","2023-09-26 16:11:56","","","","6","13","","","","","","","","","","English","","","","WOS:000645828000001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;18<br/>Total Times Cited:&nbsp;&nbsp;18<br/>Cited Reference Count:&nbsp;&nbsp;115</p>","","","ADAPTATION; climate change; RISK; CYCLE; CHANGE IMPACTS; MITIGATION; GREENHOUSE-GAS EMISSIONS; adaptation; mitigation; POLITICS; climate change policy; energy policy; GENERATION; renewable energy; SUSTAINABLE DEVELOPMENT; SYSTEMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGC4NZJ5","journalArticle","2022","Lam, Y; Winch, PJ; Nizame, FA; Broaddus-Shea, ET; Harun, MGD; Surkan, PJ","Salinity and food security in southwest coastal Bangladesh: impacts on household food production and strategies for adaptation","FOOD SECURITY","","1876-4517","10.1007/s12571-021-01177-5","","The rising salinity of land and water is an important, but understudied, climate change-sensitive trend that can exert devastating impacts on food security. This mixed methods investigation combines salinity testing with qualitative research methods to explore these impacts in one of the most salinity-affected regions in the world-the Ganges River Delta. Data collection in 2015 and 2016 undertaken in Bangladesh's southwest coastal region and Dhaka consisted of 83 in-depth household and stakeholder interviews, six community focus groups, and salinity testing of 27 soil and 45 surface and groundwater samples. Results show that household food production is a multifaceted cornerstone of rural livelihood in the southwest coastal region, and virtually every component of it-from rice plantation and homestead gardening to livestock cultivation and aquaculture-is being negatively affected by salinity. Although households have attempted multiple strategies for adapting food production, effective adaptation remains elusive. At the community level, improved irrigation and floodplain management, as well as restrictions on saltwater aquaculture to abate salinity, are viewed as promising interventions. However, the potential of such measures remains unrealized on a broad scale, as they require a level of external resources and regulation not yet provided by the NGO and government sectors. This study elucidates issues of accessibility, equity, and governance surrounding agricultural interventions for climate change-related salinity adaptation, and its findings can help inform the community of organizations that will increasingly need to grapple with salinity in order to guarantee food security in the context of environmental change.","2022-02","2023-09-26 16:11:56","2023-09-26 16:11:56","","229-248","","1","14","","","","","","","","","","English","","","","WOS:000679267700001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;12<br/>Total Times Cited:&nbsp;&nbsp;12<br/>Cited Reference Count:&nbsp;&nbsp;79</p>","","","Climate change; CLIMATE-CHANGE; Climate change adaptation; FARMERS; Food security; ZONE; WATER MANAGEMENT; SYSTEMS; Bangladesh; GROUNDWATER QUALITY; INTRUSION; IRRIGATION; LIVELIHOOD CHOICES; Salinity; Saltwater intrusion; SHRIMP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KKGW7AMF","journalArticle","2021","Rai, A; Ayadi, DP; Shrestha, B; Mishra, A","On the realities of gender inclusion in climate change policies in Nepal","POLICY DESIGN AND PRACTICE","","2574-1292","10.1080/25741292.2021.1935643","","Climate change impacts are felt globally but not equally. Even within the most vulnerable groups, women are disproportionately affected by the impacts of a changing climate. This review delves into the issue of how climate change and related policy documents in Nepal have addressed the gender-differentiated impacts of climate change. Through a gendered lens, the policies are evaluated as to whether they are gender-blind or gender-aware. We have reviewed 24 documents with climate change as a thematic area of focus along with other climate change-related national policy documents on the environment, forestry and watershed, agriculture, and disaster. Out of the 24 documents reviewed, 19 were found to be gender-aware and 5 were found to be gender-blind. We recommend gender-transformative policy development as it has been made clear that unless prevalent structural inequalities are addressed, the vulnerable cannot adapt to climate change impacts.","2021-10-02","2023-09-26 16:11:56","2023-09-26 16:11:56","","501-516","","4","4","","","","","","","","","","English","","","","WOS:000713805800005","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;1<br/>Total Times Cited:&nbsp;&nbsp;1<br/>Cited Reference Count:&nbsp;&nbsp;50</p>","","","ADAPTATION; Climate change; VULNERABILITY; POWER; women; climate change policies; CONFLICTS; differentiated impacts; gender dynamics; Nepal; WOMEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C82A7GMI","journalArticle","2021","Arrue, RJPS; de la Cruz, GAA; Caviedes, AMU; Hernandez, JAR","Chileans, climate change and the natural environment: An audience segmentation study","CONVERGENCIA-REVISTA DE CIENCIAS SOCIALES","","2448-5799","10.29101/crcs.v28i0.15794","","Not much research has been carried out in Latin America on the human dimensions of climate change. An audience segmentation study was conducted in Chile to explore different perspectives about this issue, using data from a national survey (n=2170). Results showed most Chileans express high levels of concern and agree climate change is happening and caused mainly by human actions. On the contrary, differences were found on worldviews, behaviors, perceptions of control among other factors, allowing the identification of three groups: Pragmatics, Neoliberals and Environmentalists. These results can contribute to the design of more effective communication strategies to increase awareness and climate action.","2021-06-15","2023-09-26 16:11:56","2023-09-26 16:11:56","","","","","28","","","","","","","","","","English","","","","WOS:000668357900001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;1<br/>Total Times Cited:&nbsp;&nbsp;1<br/>Cited Reference Count:&nbsp;&nbsp;60</p>","","","climate change communication; audience segmentation; Chile; climate change beliefs; environmental worldviews","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9K9BYLH","journalArticle","2021","Palomo-Velez, G; Van Vugt, M","The evolutionary psychology of climate change behaviors: Insights and applications","CURRENT OPINION IN PSYCHOLOGY","","2352-250X","10.1016/j.copsyc.2021.03.006","","We examine climate-related activities through an evolutionary psychology lens, zooming in on factors that motivate or discourage people to behave sustainably to mitigate climate change. Complementing current knowledge, we discuss five core ancestral psychological motivations that shape people's environmental decisions in fundamental ways. We review recent studies that explore how evolved psychological mechanisms related to self-interest, status, sensing, discounting tendencies, and social imitation can be used to promote proenvironmental behavior. We discuss the potential strengths and limitations of evolutionary-based behavioral interventions and briefly reflect on outstanding research questions that can further the integration of evolutionary approaches into mainstream environmental psychology.","2021-12","2023-09-26 16:11:56","2023-09-26 16:11:56","","54-59","","","42","","","","","","","","","","English","","","","WOS:000700610700010","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;12<br/>Total Times Cited:&nbsp;&nbsp;12<br/>Cited Reference Count:&nbsp;&nbsp;72</p>","","","ADAPTATION; Climate change; FOOD; WILLINGNESS; Ancestral motivations; Climate change interventions; CUES; Evolutionary psychology; GREEN; Proenvironmental behavior; REPRODUCTIVE SUCCESS; SUSTAINABLE BEHAVIOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXZNWFYL","journalArticle","2021","Sambrook, K; Konstantinidis, E; Russell, S; Okan, Y","The Role of Personal Experience and Prior Beliefs in Shaping Climate Change Perceptions: A Narrative Review","FRONTIERS IN PSYCHOLOGY","","1664-1078","10.3389/fpsyg.2021.669911","","Global climate change is increasing the frequency and intensity of extreme weather events such as heatwaves, droughts, and flooding. This is the primary way many individuals experience climate change, which has led researchers to investigate the influence of personal experience on climate change concern and action. However, existing evidence is still limited and in some cases contradictory. At the same time, behavioral decision research has highlighted the importance of pre-existing values and beliefs in shaping how individuals experience changes in environmental conditions. This is in line with theories of motivated reasoning, which suggest that people interpret and process information in a biased manner to maintain their prior beliefs. Yet, the evidence for directional motivated reasoning in the context of climate change beliefs has recently been questioned. In the current paper, we critically review the literature on the interrelationships between personal experience of local weather anomalies, extreme weather events and climate change beliefs. Overall, our review shows that there is some evidence that local warming can generate climate change concern, but the capacity for personal experience to promote action may rely upon the experience first being attributed to climate change. Rare extreme weather events will likely have limited impact on judgments and decisions unless they have occurred recently. However, even recent events may have limited impact among individuals who hold strong pre-existing beliefs rejecting the reality of climate change. We identify limitations of existing research and suggest directions for future work.","2021-07-02","2023-09-26 16:11:56","2023-09-26 16:11:56","","","","","12","","","","","","","","","","English","","","","WOS:000674053200001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;19<br/>Total Times Cited:&nbsp;&nbsp;19<br/>Cited Reference Count:&nbsp;&nbsp;67</p>","","","climate change; PREFERENCES; extreme weather; CHANGE MITIGATION; PUBLIC PERCEPTIONS; EXTREME WEATHER EVENTS; climate change beliefs; CONSEQUENCES; DAILY TEMPERATURE; LOCAL WEATHER; OVERESTIMATION; personal experience; prior beliefs; RARE EVENTS; RISK PERCEPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T9LIJSN6","journalArticle","2021","Olivera-Villarroel, SM; Andrade-Velazquez, M; Medrano-Perez, OR","Exposure to changes in climate in Bolivia","TECNOLOGIA Y CIENCIAS DEL AGUA","","0187-8336","10.24850/j-tyca-2021-06-03","","Bolivia, by location and topographic characteristics, is a country with high exposure to extreme climate events. Often, the country is affected by droughts and storms that result in heat waves and floods with adverse effects for the population and the economy in general. For this reason, the analysis of temporal and spatial climate data is more evident than ever to face the socio-economic and environmental impacts associated with knowledge and understanding of the climate patterns in the country. The present investigation focuses on determining the changes in climatic variables of precipitation and temperature, generating indicators on these variables' behavior, and identifying Bolivia's areas with the most significant temporal exposure to climate changes in recent decades. Thus, this study proposes a regionalization that allows to contrast and analyzes these changes. As a result, it is expected to contribute to the generation of public policies and research around the areas of risk, vulnerability, adaptation, and climate resilience of the most significant exposure areas identified in this study.","2021-11","2023-09-26 16:11:56","2023-09-26 16:11:56","","90-144","","6","12","","","","","","","","","","Spanish","","","","WOS:000722206200003","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;50</p>","","","TRENDS; Climate change; climate variability; EXTREME WEATHER; vulnerability; temperature; precipitation; EVENTS; DISASTERS; FLOOD RISK; Climate patterns; WEIBULL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HYRUPBW8","journalArticle","2021","Thrivikramji, KP; Sajinkumar, KS; Rani, VR","Climate Change Science in School Curriculum:Solution to Ignorance of Commons in Developing Countries","JOURNAL OF CLIMATE CHANGE","","2395-7611","10.3233/JCC210023","","In developing countries and to a certain degree in developed countries too, either climate change (CC) consequences or drivers of CC are alien to the mindset of commoners, who after High School had with/without vocational skills entered the workforce. This deficit or ignorance can be rectified only by adding CC education in the school system. We present a school appropriate outline of CC learning content spanning Kinder Garten to High School. Adding CC content in school education is immensely warranted, as a large chunk of high schoolers annually joins the work force with or without vocational or skill training. Further, such a knowledge deficit among the generations of working class can be remedied only by providing appropriate and sufficient knowledge on CC consequences, etc., only through a structured adult education campaign.","2021","2023-09-26 16:11:56","2023-09-26 16:11:56","","29-34","","4","7","","","","","","","","","","English","","","","WOS:000734503900004","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;3</p>","","","Climate change learning; Climate change sciences; School curriculum and Skill training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECCKGMHX","journalArticle","2021","Hahn, ER","The developmental roots of environmental stewardship: Childhood and the climate change crisis","CURRENT OPINION IN PSYCHOLOGY","","2352-250X","10.1016/j.copsyc.2021.01.006","","Childhood presents heightened vulnerabilities and unique opportunities in the context of climate change. Even very young children view the environment as a moral concern. Furthermore, early life experiences can lay the groundwork for a lifetime of environmental stewardship. Exposure to nature and parental eco-friendly behaviors are each predictive of children's commitment to environmental engagement later in life. However, these early inclinations give way to decreasing environmental concern in adolescence. Research is beginning to shift from a framework that emphasizes children's status as victims of the climate change crisis to one that instead underscores their role as agents of change.","2021-12","2023-09-26 16:11:55","2023-09-26 16:11:55","","19-24","","","42","","","","","","","","","","English","","","","WOS:000700610700004","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;16<br/>Total Times Cited:&nbsp;&nbsp;16<br/>Cited Reference Count:&nbsp;&nbsp;59</p>","","","Climate change; CHILDREN; Nature; Climate change mitigation; EXPOSURE; BEHAVIORS; Children and youth; Environmental psychology; FAMILY; FRIENDS; KEY; MORAL JUDGMENTS; PARENTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6PT96ZS","journalArticle","2021","Setiawati, MD; Jarzebski, MP; Gomez-Garcia, M; Fukushi, K","Accelerating Urban Heating Under Land-Cover and Climate Change Scenarios in Indonesia: Application of the Universal Thermal Climate Index","FRONTIERS IN BUILT ENVIRONMENT","","2297-3362","10.3389/fbuil.2021.622382","","Climate change causing an increase of frequency and magnitude of heat waves has a huge impact on the urban population worldwide. In Indonesia, the Southeast Asian country in the tropical climate zone, the increasing heat wave duration due to climate change will be also magnified by projected rapid urbanization. Therefore, not only climate change mitigation measures but also adaptation solutions to more frequent extreme weather events are necessary. Adaptation is essential at local levels. The projected increase of the heat wave duration will trigger greater health-related risks. It will also drive higher energy demands, particularly in urban areas, for cooling. New smart solutions for growing urbanization for reducing urban heat island phenomenon are critical, but in order to identify them, analyzing the changing magnitude and spatial distribution of urban heat is essential. We projected the current and future spatial variability of heat stress index in three cities in Indonesia, namely, Medan, Surabaya, and Denpasar, under climate change and land-cover change scenarios, and quantified it with the Universal Thermal Climate Index (UTCI) for two periods, baseline (1981-2005) and future (2018-2042). Our results demonstrated that currently the higher level of the UTCI was identified in the urban centers of all three cities, indicating the contribution of urban heat island phenomenon to the higher UTCI. Under climate change scenarios, all three cities will experience increase of the heat, whereas applying the land-cover scenario demonstrated that in only Medan and Denpasar, the UTCI is likely to experience a higher increase by 3.1 degrees C; however, in Surabaya, the UTCI will experience 0.84 degrees C decrease in the period 2018-2042 due to urban greening. This study advanced the UTCI methodology by demonstrating its applicability for urban heat warning systems and for monitoring of the urban green cooling effect, as well as it provides a base for adaptation measures' planning.","2021-05-04","2023-09-26 16:11:55","2023-09-26 16:11:55","","","","","7","","","","","","","","","","English","","","","WOS:000651498600001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;5<br/>Total Times Cited:&nbsp;&nbsp;5<br/>Cited Reference Count:&nbsp;&nbsp;62</p>","","","HEALTH; land cover change; STRESS; climate change adaptation; CHINA; climate change scenario; urban green; urban heating; UTCI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIHMLJLN","journalArticle","2021","Olabisi, LS; Osuntade, O; Liverpool-Tasie, LSO; Adebiyi, J","Participatory modelling for climate change adaptation: the poultry sector in Nigeria","CLIMATE POLICY","","1469-3062","10.1080/14693062.2021.1891019","","Strategies for agricultural climate change adaptation are needed to ensure that sub-Saharan Africa can continue to feed itself, given its rapidly growing population and the expected impacts of climate change on food production. The poultry sector is an important component of the African food system, but national climate change adaptation plans in many countries fail to take into account the specific contextual challenges faced by poultry producers. We developed a participatory system dynamics modelling tool to involve stakeholders from the poultry sector in Nigeria in analyzing how climate impacts would affect the sector, with the goal of generating insights for state (sub-national) and national scale policy makers. A second goal of the exercise was to facilitate social learning and knowledge sharing on adaptation strategies among the stakeholders. Given the high uncertainty of the conditions surrounding the Nigerian poultry sector, the model's use is primarily as a discussion tool for poultry sector stakeholders, including policy makers, to share concerns and develop adaptation strategies. It served this purpose, as evidenced by the creation of a manual for poultry producers from the exercise. Similar stakeholder engagement efforts can stimulate knowledge sharing around climate change adaptation for problems around which limited data and high uncertainty exist. Key policy insights Participatory system dynamics modelling is shown to be a useful tool for integrating national and community-level priorities for policy and management under climate change in the Nigerian poultry sector. Effective climate change adaptation will require building resilience to large-scale external drivers such as global trade dynamics, which are highly influential in the system. In order to effectively move from planning to implementation, climate change adaptation processes must facilitate social learning and knowledge sharing around the long-term consequences of policy and management choices.","2021-05-28","2023-09-26 16:11:55","2023-09-26 16:11:55","","666-677","","5","21","","","","","","","","","","English","","","","WOS:000621682900001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;4<br/>Total Times Cited:&nbsp;&nbsp;4<br/>Cited Reference Count:&nbsp;&nbsp;33</p>","","","Climate change; Africa; climate change policies; complex systems; participatory modelling; poultry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBLLQSAR","journalArticle","2022","Davidson, DJ; Kecinski, M","Emotional pathways to climate change responses","WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE","","1757-7780","10.1002/wcc.751","","The first trigger to any form of personal and collective change begins with emotions. They influence whether and how our attention is drawn to stimuli, how we reflect upon those stimuli, and how we choose courses of action. Emotions are thus at the center of social responses to climate change. We offer a selective, interdisciplinary review of emotions research to inform the development of a hypothetical emotion-cognition model of climate change response, followed by exploration of the emotional precedents supporting three prevailing behavioral responses which support inaction: apathy, denial, and withdrawal. We then review research that can inform emotion triggers to pro-climate adaptive and mitigative action. We conclude with a discussion of two key research needs: intersectionality and interdisciplinarity. Addressing these needs will enhance our ability to respond to the climate emergency. This article is categorized under: Perceptions, Behavior, and Communication of Climate Change > Behavior Change and Responses","2022-03","2023-09-26 16:11:55","2023-09-26 16:11:55","","","","2","13","","","","","","","","","","English","","","","WOS:000730319200001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;11<br/>Total Times Cited:&nbsp;&nbsp;11<br/>Cited Reference Count:&nbsp;&nbsp;202</p>","","","RISK; FEAR APPEALS; PREFERENCES; CHANGE MITIGATION; emotions; PERCEPTIONS; PSYCHOLOGICAL DISTANCE; EXPERIENCE; climate change mitigation and adaptation; emotional responses to climate change; MOTIVATED AVOIDANCE; POSITIVE AFFECT; pro-climate action; SYSTEM JUSTIFICATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6F7ZEUK","journalArticle","2021","Tiruta-Barna, L","A climate goal-based, multicriteria method for system evaluation in life cycle assessment","INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT","","0948-3349","10.1007/s11367-021-01991-1","","Purpose Our ability to restrict global warming to the established objectives in the Paris Agreement depends on the metrics used to evaluate the climate change impact. Stemmed on the criticism of the current GWP metrics used with life cycle assessment (LCA), this study proposes new indicators and an interpretation grid for climate change impact in LCA, which are adaptive to present, short-term, and long-term climate goals. Methods The global mean temperature change (GMTC) is used in the indicators' definition and time parameters are introduced for a multicriteria evaluation of climate change impact. We adopt calendar-related time targets instead of a fixed time horizon. The systems are analyzed on a real-time scale and with respect to a climate-target point in time (for example, 2050 as objective for climate neutrality), in contrast with conventional LCA. The objective is to provide flexibility in system evaluation, adaptable to current and future targets. Results and discussion Four indicators are introduced: (1) the amplitude of the temperature change (GMTC(max)), representative for climate extreme events; (2) the time at which GMTC starts to definitely decrease and its distance with respect to the goal (t(last_peak)); (3) the time climate neutrality is reached and its distance with respect to the goal (t(neutral)); and (4) the accumulated warming until a targeted time, representative for sea-level rise and ice melting (integrated GMTC at a given time target, for example at the end of century iGMTC(2100)). An analysis grid is proposed based on these indicators and illustrated on 26 emission profiles involving long- and short-lived greenhouse gases with various temporalities, as well as on two dynamic LCA case studies. In the group of neutral systems, temporality is responsible for variations in GMTC(max) and iGMTC(2100). Increasing the frequency of emission/capture events flattens both indicators and provides the best performance. Equal CO2 emission systems are discriminated primarily by t(last_peak), while in the case of methane, more relief is observed for all indicators. The method allows for the design of tailored mitigation solutions in LCA application examples. Conclusions The indicators are able to discriminate and rank systems that are considered to be non-impacting, equivalently impacting, or neutral in LCA-GWP metrics. Such metrics is necessary to correctly (avoid strong simplifications) and unambiguously (with unaltered physical parameters, closer to climate physics) evaluate the effect on climate, mitigation solutions, neutrality, and support decision-making.","2021-10","2023-09-26 16:11:55","2023-09-26 16:11:55","","1913-1931","","10","26","","","","","","","","","","English","","","","WOS:000710905600002","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;4<br/>Total Times Cited:&nbsp;&nbsp;4<br/>Cited Reference Count:&nbsp;&nbsp;49</p>","","","Climate change impact; Greenhouse gas; TIME; BIOENERGY; BIOGENIC CARBON; Climate change metrics; Climate neutrality; DYNAMIC LCA; Dynamic life cycle assessment; EMISSION METRICS; Global mean temperature change; IMPACT ASSESSMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
